DATASET_EXTERNALSHAPE
SEPARATOR TAB
DATASET_LABEL	Annotation
COLOR	#ff0000
FIELD_COLORS	rgb(180,83,156)	rgb(241,157,77)	rgb(9,119,158)	rgb(45,67,81)	rgb(204,111,169)	rgb(227,170,207)	rgb(204,105,131)	rgb(197,9,162)	rgb(161,242,126)	rgb(201,212,29)	rgb(8,212,230)	rgb(240,98,26)	rgb(37,156,60)	rgb(177,116,30)	rgb(84,50,175)	rgb(129,215,18)	rgb(215,125,225)	rgb(187,171,26)	rgb(87,32,51)	rgb(157,74,201)	rgb(124,181,203)	rgb(43,236,131)	rgb(145,115,192)	rgb(221,121,209)	rgb(62,142,1)	rgb(77,7,135)	rgb(177,143,179)	rgb(70,160,5)	rgb(176,248,80)	rgb(174,18,4)	rgb(213,107,152)	rgb(162,53,152)	rgb(73,126,42)	rgb(242,93,202)	rgb(12,104,83)
FIELD_LABELS	arCOG00553	arCOG00557	arCOG00555	arCOG00554	arCOG01445	arCOG00558	arCOG00770	arCOG00874	arCOG00872	arCOG01526	arCOG00871	arCOG01444	COG1061	COG0513	COG1201	COG1204	COG1205	COG1203	2XSV4	2XTPR	2XTWI	2XTBV	COG1111	2XSTH	COG1202	2XUS4	COG0553	COG1110	2XTYQ	2XUCK	2XTH2	COG1199	2N99K	arCOG00560	COG0514
LEGEND_TITLE	Legend
LEGEND_POSITION_X	100
LEGEND_POSITION_Y	100
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	rgb(180,83,156)	rgb(241,157,77)	rgb(9,119,158)	rgb(45,67,81)	rgb(204,111,169)	rgb(227,170,207)	rgb(204,105,131)	rgb(197,9,162)	rgb(161,242,126)	rgb(201,212,29)	rgb(8,212,230)	rgb(240,98,26)	rgb(37,156,60)	rgb(177,116,30)	rgb(84,50,175)	rgb(129,215,18)	rgb(215,125,225)	rgb(187,171,26)	rgb(87,32,51)	rgb(157,74,201)	rgb(124,181,203)	rgb(43,236,131)	rgb(145,115,192)	rgb(221,121,209)	rgb(62,142,1)	rgb(77,7,135)	rgb(177,143,179)	rgb(70,160,5)	rgb(176,248,80)	rgb(174,18,4)	rgb(213,107,152)	rgb(162,53,152)	rgb(73,126,42)	rgb(242,93,202)	rgb(12,104,83)
LEGEND_LABELS	arCOG00553	arCOG00557	arCOG00555	arCOG00554	arCOG01445	arCOG00558	arCOG00770	arCOG00874	arCOG00872	arCOG01526	arCOG00871	arCOG01444	COG1061	COG0513	COG1201	COG1204	COG1205	COG1203	2XSV4	2XTPR	2XTWI	2XTBV	COG1111	2XSTH	COG1202	2XUS4	COG0553	COG1110	2XTYQ	2XUCK	2XTH2	COG1199	2N99K	arCOG00560	COG0514
LEGEND_SHAPE_SCALES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DATA
'Palaeococcus pacificus DY20341'	50	50	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Candidatus Nitrososphaera evergladensis SR1'	50	50	50	0	50	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Geoglobus acetivorans'	50	50	50	0	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Natronomonas pharaonis'	50	50	50	50	0	0	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Pyrobaculum islandicum'	50	50	50	0	0	0	50	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Thermofilum pendens'	50	50	50	0	0	0	50	50	0	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Hyperthermus butylicus'	0	50	50	0	0	0	50	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Methanocorpusculum labreanum'	50	50	50	50	50	50	50	0	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Methanoculleus marisnigri'	50	50	0	50	0	50	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Staphylothermus marinus'	50	50	50	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Pyrobaculum calidifontis'	50	50	50	0	0	0	50	50	0	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Methanococcus maripaludis'	50	50	50	50	50	50	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Metallosphaera sedula'	50	50	50	0	0	50	50	50	0	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Methanobrevibacter smithii'	50	50	50	50	50	50	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Methanococcus vannielii'	50	50	0	50	50	50	0	0	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Methanococcus aeolicus'	50	0	0	50	50	50	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Methanoregula boonei'	50	50	50	50	0	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Ignicoccus hospitalis'	50	50	50	0	0	0	50	50	0	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Caldivirga maquilingensis'	50	50	50	0	0	50	50	0	0	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Nitrosopumilus maritimus'	50	50	50	0	0	50	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Candidatus Korarchaeum cryptofilum'	50	50	50	0	0	0	50	50	0	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Pyrobaculum neutrophilum'	50	50	50	0	0	0	50	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Aciduliprofundum boonei'	50	50	0	0	0	50	50	0	50	50	0	0	0	0	50	0	0	0	0	0	0	50	50	50	0	0	0	0	0	0	0	0	0	0	0
'Thermococcus onnurineus'	50	50	50	50	0	50	50	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Desulfurococcus amylolyticus'	50	50	50	0	0	0	0	0	0	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Methanosphaerula palustris'	50	50	50	50	0	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Halorubrum lacusprofundi'	50	50	50	50	0	0	50	50	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Thermococcus gammatolerans'	50	50	0	50	0	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Thermococcus sibiricus'	50	50	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Halorhabdus utahensis'	50	50	50	50	0	0	50	50	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Halomicrobium mukohataei'	50	50	50	50	50	0	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Methanocaldococcus fervens'	50	50	50	50	50	50	0	0	50	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Methanocaldococcus vulcanius'	50	50	0	50	0	50	0	0	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Methanocella paludicola'	50	50	50	50	0	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Archaeoglobus profundus'	0	50	50	0	0	0	0	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Haloterrigena turkmenica'	50	50	50	50	0	0	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
